Username,Text,Bot,hasCyrillicUsername,usernameEntropy,hasFemaleNameInUsername,hasEmojis,endsWithEmojis,wordCount,isShortComment,hasFlaggedEmoji,flaggedEmojiCount,isDuplicateComment,hasCommonBotPhrases,commonBotPhrasesCount,hasTimeStamp,exclamationCount,punctuationClusters
Gaming and Stuff PRO,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1,0,0.75,1,0,0,57,0,0,0,0,0,0,0,2,0
Zielimeek21,I'm only checking the views﻿,0,0,0.7272727272727273,0,0,0,5,0,0,0,0,0,0,0,0,0
OutrightIgnite,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1,0,0.7142857142857143,0,0,0,2,1,0,0,0,0,0,0,0,0
Tony K Frazier,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1,0,0.8571428571428571,1,0,0,1,1,0,0,0,0,0,0,0,0
Jose Renteria,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,0,0.8461538461538461,1,0,0,52,0,0,0,0,0,0,0,3,1
zhichao wang,i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,0,0.8333333333333334,0,0,0,18,0,0,0,0,0,0,0,0,0
Carlos Thegamer,subscribe to my channel people :D﻿,1,0,0.8,0,0,0,6,0,0,0,0,0,0,0,0,0
OutrightIgnite,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1,0,0.7142857142857143,0,0,0,6,0,0,0,0,0,0,0,0,0
Owen Lai,just checking the views﻿,0,0,1.0,0,0,0,4,1,0,0,0,0,0,0,0,0
||GuitarZ||,CHECK OUT MY CHANNEL,1,0,0.7272727272727273,1,0,0,4,1,0,0,0,0,0,0,0,0
Living4Techno,marketglory . com/strategygame/andrijamatf earn real money from game,1,0,0.8461538461538461,1,0,0,8,0,0,0,0,0,0,0,0,0
8-BitMusic,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,0,0.9,0,0,0,45,0,0,0,0,0,0,0,4,1
Kyle Jaber,Check me out! I'm kyle. I rap so yeah ﻿,1,0,0.9,1,0,0,10,0,0,0,0,0,0,0,1,0
Brandon Pryor,I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0,0,0.6923076923076923,0,0,0,17,0,0,0,0,0,0,0,0,0
Fun&amp;Hacks,"Subscribe to me for free Android games, apps.. ﻿",1,0,0.9230769230769231,0,0,0,9,0,0,0,0,0,0,0,0,0
Young Hittaz,everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1,0,0.9166666666666666,0,0,0,14,0,0,0,0,0,0,0,0,0
DropShotSk8r,"Came here to check the views, goodbye.﻿",0,0,0.75,0,0,0,7,0,0,0,0,0,0,0,0,0
ElepticRage,sub my channel for no reason -_-﻿,1,0,0.9090909090909091,0,0,0,7,0,0,0,0,0,0,0,0,0
Joengz,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1,0,1.0,0,0,0,17,0,0,0,0,0,0,0,0,0
Tasha Lucius,2 billion....Coming soon﻿,0,0,0.75,1,0,0,3,1,0,0,0,0,0,0,0,0
Jason Provencal,Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0,0,0.8,0,0,0,27,0,0,0,0,0,0,0,0,0
Kiddy Kidso,Check my channel please! And listen to the best music ever :P﻿,1,0,0.6363636363636364,0,0,0,12,0,0,0,0,0,0,0,1,0
HamzaMurt | Advanced Warefare | Lets Play!,SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,1,0,0.5714285714285714,1,0,0,32,0,0,0,0,0,0,0,0,0
ii Trollercopter," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1,0,0.625,0,0,0,71,0,0,0,0,0,0,0,3,1
Eugene Kalinin,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1,0,0.7142857142857143,1,0,0,17,0,0,0,0,0,0,0,0,0
Cody Tolleson,YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1,0,0.7692307692307693,1,0,0,8,0,0,0,0,0,0,0,0,0
cake cat,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1,0,0.75,0,0,0,14,0,0,0,0,0,0,0,0,0
World327RS,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1,0,1.0,0,0,0,13,0,0,0,0,0,0,0,1,0
Didier Drogba,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,1,0,0.7692307692307693,1,0,0,7,0,0,0,0,0,0,0,1,0
MFkin PRXPHETZ,"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",1,0,0.9285714285714286,0,0,0,40,0,0,0,0,0,0,0,4,1
Dave X,....subscribe......  ......to my........  .....channel.......﻿,1,0,1.0,0,0,0,4,1,0,0,0,0,0,0,0,0
crestpee,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",0,0,0.75,0,0,0,13,0,0,0,0,0,0,0,1,0
Leonardo Baptista,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,1,0,0.7647058823529411,1,0,0,2,1,0,0,0,0,0,0,0,0
Phuc Ly,go here to check the views :3﻿,0,0,1.0,0,0,0,7,0,0,0,0,0,0,0,0,0
Milan George,thumbs up if u checked this video to see hw views it got﻿,0,0,0.9166666666666666,1,0,0,13,0,0,0,0,0,0,0,0,0
Kirsty Brown,Plz subscribe to my channel and I will subscribe back xx﻿,1,0,0.9166666666666666,0,0,0,11,0,0,0,0,0,0,0,0,0
Kochos,i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0,0,0.8333333333333334,0,0,0,14,0,0,0,0,0,0,0,0,0
eSkiip,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,0,0,0.8333333333333334,0,0,0,19,0,0,0,0,0,0,0,0,0
Wumrogue lite,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,1,0,0.8461538461538461,0,0,0,10,0,0,0,0,0,0,0,2,0
Ruddy Tapia,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,1,0,0.8181818181818182,1,0,0,8,0,0,0,0,0,0,0,0,0
Artsi,Pls follow this channel!! http://www.twitch.tv/sevadus﻿,1,0,1.0,0,0,0,5,0,0,0,0,0,0,0,2,1
ProsGamerOnly,hi guys check my youtube channel﻿,1,0,0.9230769230769231,1,0,0,6,0,0,0,0,0,0,0,0,0
JP Jochem,Subscribe and like to me for more how to videos on minecraft!﻿,1,0,0.8888888888888888,0,0,0,12,0,0,0,0,0,0,0,1,0
Jdidk Loma,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,1,0,0.9,0,0,0,6,0,0,0,0,0,0,0,1,0
BaconBro HD,Subscribe ME!﻿,1,0,0.8181818181818182,0,0,0,2,1,0,0,0,0,0,0,1,0
Eanna Cusack,Im just to check how much views it has﻿,0,0,0.75,1,0,0,9,0,0,0,0,0,0,0,0,0
fastestghost,The first comment is chuck norrus ovbiously :D﻿,0,0,0.6666666666666666,0,0,0,8,0,0,0,0,0,0,0,0,0
StuntmanGaming,Behold the most viewed youtube video in the history of ever﻿,0,0,0.6428571428571429,1,0,0,11,0,0,0,0,0,0,0,0,0
Master Chief,when is this gonna hit 2 billion?﻿,0,0,0.9166666666666666,0,0,0,7,0,0,0,0,0,0,0,0,0
David Bell,the most viewed youtube video of all time?﻿,0,0,0.9,1,0,0,8,0,0,0,0,0,0,0,0,0
virgie natividad,"969,210 dislikes like dislike themselves﻿",0,0,0.625,1,0,0,5,0,0,0,0,0,0,0,0,0
asd ad,psy=korean﻿,0,0,0.6666666666666666,0,0,0,1,1,0,0,0,0,0,0,0,0
Dymetex,"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",0,0,0.8571428571428571,0,0,0,19,0,0,0,0,0,0,0,0,0
MrTuizentfloot,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",0,0,0.8571428571428571,1,0,0,41,0,0,0,0,0,0,0,0,0
OREOGAM3R,It's been back for quite a while now.,0,0,0.7777777777777778,0,0,0,8,0,0,0,0,0,0,0,0,0
LEONARDO CAETANO,2 Billions in 2014,0,0,0.625,1,0,0,4,1,0,0,0,0,0,0,0,0
fab life,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,1,0,0.875,0,0,0,16,0,0,0,0,0,0,0,1,0
Oh 1080s,Sub my channel!﻿,1,0,0.875,0,0,0,3,1,0,0,0,0,0,0,1,0
Ariel Baptista,http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1,0,0.7857142857142857,1,0,0,2,1,0,0,0,0,0,0,0,0
Stefano Albanese,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,1,0,0.75,1,0,0,2,1,0,0,0,0,0,0,0,0
Salim Tayara,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",1,0,0.75,1,0,0,19,0,0,0,0,0,0,0,0,0
Lucky D.,http://hackfbaccountlive.com/?ref=4604617﻿,1,0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0
Lucas Trigo,"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",1,0,1.0,0,0,0,43,0,0,0,0,0,0,0,8,1
TheHariiiii,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,1,0,0.6363636363636364,0,0,0,3,1,0,0,0,0,0,0,0,0
Angel,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",1,0,1.0,1,0,0,96,0,0,0,0,0,0,0,1,0
Squir3,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,1,0,1.0,0,0,0,4,1,0,0,0,0,0,0,4,1
Kaya Roberts,Admit it you just came here to check the number of viewers ﻿,0,0,0.9166666666666666,1,0,0,13,0,0,0,0,0,0,0,0,0
Prim N.,"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",0,0,1.0,0,0,0,16,0,0,0,0,0,0,0,0,0
James Ridge,Check my first video out﻿,1,0,0.9090909090909091,0,0,0,5,0,0,0,0,0,0,0,0,0
Minecraft-Viasat,Check my channel﻿,1,0,0.75,1,0,0,3,1,0,0,0,0,0,0,0,0
Alessio Siri,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0,0,0.75,0,0,0,7,0,0,0,0,0,0,0,0,0
Backup Plus,Suscribe My Channel Please XD lol﻿,1,0,0.9090909090909091,0,0,0,6,0,0,0,0,0,0,0,0,0
Almighty Toffeebomb,Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,0,0,0.7368421052631579,0,0,0,14,0,0,0,0,0,0,0,0,0
Meth Lover,http://binbox.io/1FIRo#123﻿,1,0,0.9,1,0,0,1,1,0,0,0,0,0,0,0,0
NstyIC Gold,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,0,0,1.0,0,0,0,11,0,0,0,0,0,0,0,0,0
Никита Безухов,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,1,1,0.9285714285714286,0,0,0,7,0,0,0,0,0,0,0,0,0
Михаил Панкратов,There is one video on my channel about my brother...﻿,1,1,0.8125,0,0,0,10,0,0,0,0,0,0,0,0,0
Angek95,"Check my channel, please!﻿",1,0,1.0,1,0,0,4,1,0,0,0,0,0,0,1,0
Arianna Leighton,"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",1,0,0.75,1,0,0,46,0,0,0,0,0,0,0,0,0
richardex8,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,0,0,0.9,0,0,0,31,0,0,0,0,0,0,0,0,0
Олег Пась,Plizz withing my channel ﻿,1,1,1.0,0,0,0,5,0,0,0,0,0,0,0,0,0
Crooked Gaming,I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,1,0,0.9285714285714286,1,0,0,10,0,0,0,0,0,0,0,1,0
Monwar Sarkar,Please help me go here http://www.gofundme.com/littlebrother﻿,1,0,0.6923076923076923,0,0,0,6,0,0,0,0,0,0,0,0,0
Jack ToadROXMK,Anybody who subscribes to me will get 10 subscribers﻿,1,0,0.9285714285714286,0,0,0,9,0,0,0,0,0,0,0,0,0
roflcopter2110,http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,1,0,0.7857142857142857,0,0,0,1,1,0,0,0,0,0,0,0,0
Imprezzi Vidzz,"My videos are half way decent, check them out if you want.﻿",1,0,0.7142857142857143,1,0,0,12,0,0,0,0,0,0,0,0,0
khir abqari,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",0,0,0.7272727272727273,0,0,0,21,0,0,0,0,0,0,0,0,0
Gloria Garcia,subscribe to itz recaps and above diddle﻿,1,0,0.6153846153846154,1,0,0,7,0,0,0,0,0,0,0,0,0
xSparkShark,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,0,0,0.6363636363636364,0,0,0,20,0,0,0,0,0,0,0,0,0
Emerson Zanol Zanol,need money?Enjoy https://www.tsu.co/emerson_zanol﻿,1,0,0.5789473684210527,0,0,0,3,1,0,0,0,0,0,0,0,0
Lars Zaadstra,Sub to my channel visuelgamingzNL I sub back﻿,1,0,0.6153846153846154,0,0,0,8,0,0,0,0,0,0,0,0,0
firo mota,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,1,0,0.8888888888888888,0,0,0,22,0,0,0,0,0,0,0,0,0
Connor Groom,sub me if you dont like the song﻿,1,0,0.5833333333333334,0,0,0,8,0,0,0,0,0,0,0,0,0
Kaiser Dragon,This is a weird video.﻿,0,0,0.8461538461538461,1,0,0,5,0,0,0,0,0,0,0,0,0
Monster Sifou,8 million likes xD even the subscribers not 8 million xD﻿,0,0,0.9230769230769231,0,0,0,11,0,0,0,0,0,0,0,0,0
TIGERIO_,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,1,0,0.875,1,0,0,20,0,0,0,0,0,0,0,2,0
OFFICIAL LEXIS,Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,1,0,0.7142857142857143,0,0,0,46,0,0,0,0,0,0,0,1,0
trespasser4000,This song never gets old love it.﻿,0,0,0.5714285714285714,0,0,0,7,0,0,0,0,0,0,0,0,0
Pat M,gofundme.com/grwmps﻿,1,0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0
Malin Linford,"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",1,0,0.8461538461538461,1,0,0,16,0,0,0,0,0,0,0,0,0
kenny clayton,#2012bitches﻿,0,0,0.7692307692307693,0,0,0,1,1,0,0,0,0,0,0,0,0
Akymonix,Made in china....﻿,0,0,1.0,1,0,0,3,1,0,0,0,0,0,0,0,0
Gaming Land,5 milions comentars and 2 bilion views﻿,0,0,0.8181818181818182,1,0,0,7,0,0,0,0,0,0,0,0,0
tom hawksbee,It is 0 zero﻿,0,0,0.9166666666666666,1,0,0,4,1,0,0,0,0,0,0,0,0
Norman Reid,Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,0,0,1.0,1,0,0,14,0,0,0,0,0,0,0,0,0
Emily Hamilton,This has had over 2 billion views.  Holy shit.﻿,0,0,0.7857142857142857,1,0,0,9,0,0,0,0,0,0,0,0,0
rolle54100,"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0,0,0.8,0,0,0,20,0,0,0,0,0,0,0,0,0
MrBrunoExtreme,Suscribe my channel please﻿,1,0,0.7857142857142857,0,0,0,4,1,0,0,0,0,0,0,0,0
xMasterGGx,"2,124923004 wiews... wow﻿",0,0,0.8,0,0,0,3,1,0,0,0,0,0,0,0,0
pro stomper,guys please subscribe me to help my channel grow please guys﻿,1,0,0.7272727272727273,0,0,0,11,0,0,0,0,0,0,0,0,0
Abdinasir Omar,Great music anyway﻿,0,0,0.7857142857142857,1,0,0,3,1,0,0,0,0,0,0,0,0
Aleksaivan Neidert,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0,0,0.7777777777777778,1,0,0,7,0,0,0,0,0,0,0,0,0
Luat ha hpuoc,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",0,0,0.6923076923076923,0,0,0,15,0,0,0,0,0,0,0,0,0
abdellah chafouai,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,1,0,0.7058823529411765,1,0,0,9,0,0,0,0,0,0,0,0,0
Brotha B,"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",1,0,0.875,1,0,0,67,0,0,0,0,0,0,0,3,1
Amir effect,Can somebody wake me up when we get to 3 billion views.﻿,0,0,0.8181818181818182,1,0,0,12,0,0,0,0,0,0,0,0,0
lakis constantinou,PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,0,0,0.6111111111111112,0,0,0,23,0,0,0,0,0,0,0,0,0
just a filthy kafir,Justin bieber = gay ﻿,0,0,0.6842105263157895,0,0,0,5,0,0,0,0,0,0,0,0,0
HarveyIsTheBoss,You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,0,0,0.8,0,0,0,28,0,0,0,0,0,0,0,0,0
M7AMDksa,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,0,0,0.875,0,1,0,5,0,0,0,0,0,0,0,0,0
Noah François,"Ahhh, 2 years ago....﻿",0,0,0.8461538461538461,1,0,0,4,1,0,0,0,0,0,0,0,0
Neely Nesley,"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",1,0,0.5,1,0,0,3,1,0,0,0,0,0,0,0,0
BmwManDexter,"check out ""starlitnightsky"" channel to see epic videos﻿",1,0,0.9166666666666666,0,0,0,8,0,0,0,0,0,0,0,0,0
KodysMan Dunt Know,https://www.tsu.co/KodysMan plz ^^﻿,1,0,0.7222222222222222,0,0,0,3,1,0,0,0,0,0,0,0,0
nachopinca3901,Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,0,0,0.7857142857142857,0,0,0,13,0,0,0,0,0,0,0,0,0
Mehmet Demirel,http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,1,0,0.7142857142857143,0,0,0,1,1,0,0,0,0,0,0,0,0
PacKmaN,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,1,0,0.8571428571428571,0,0,0,17,0,0,0,0,0,0,0,0,0
Alessandro leite,pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,1,0,0.75,1,0,0,10,0,0,0,0,0,0,0,0,0
TLouX music,Add me here...https://www.facebook.com/TLouXmusic﻿,1,0,0.9090909090909091,1,0,0,3,1,0,0,0,0,0,0,0,0
Tyrek Sings,CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,1,0,1.0,0,0,0,9,0,0,0,0,0,0,0,0,0
NursePoison,I think this is now a place to promote channels in the comment section lol.﻿,0,0,0.8181818181818182,0,0,0,15,0,0,0,0,0,0,0,0,0
Peter Johnson,Get free gift cards and pay pal money!﻿,1,0,0.7692307692307693,1,0,0,8,0,0,0,0,0,0,0,1,0
MiningBip3,Check out pivot animations in my channel﻿,1,0,0.7,0,0,0,7,0,0,0,0,0,0,0,0,0
Ju`Wan Wright,Follow me on twitter &amp; IG : __killuminati94﻿,1,0,0.9230769230769231,0,0,0,8,0,0,0,0,0,0,0,0,0
CronicleFPS,Check me out I'm all about gaming ﻿,1,0,1.0,0,0,0,8,0,0,0,0,0,0,0,0,0
marye,Oppa! Yeah! Best Song!﻿,0,0,1.0,1,0,0,4,1,0,0,0,0,0,0,3,0
Giang Nguyen,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,1,0,0.8333333333333334,0,0,0,2,1,0,0,0,0,0,0,0,0
Giang Nguyen,https://www.facebook.com/teeLaLaLa﻿,1,0,0.8333333333333334,0,0,0,1,1,0,0,0,0,0,0,0,0
MasterRobotTV,http://www.twitch.tv/zxlightsoutxz﻿,1,0,0.8461538461538461,0,0,0,1,1,0,0,0,0,0,0,0,0
ROB YSF,reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,1,0,1.0,0,0,0,6,0,0,0,0,0,0,0,0,0
Rancy Gaming,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,1,0,0.8333333333333334,1,0,0,7,0,0,0,0,0,0,0,0,0
FatPocketsTv,"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1,0,0.9166666666666666,0,0,0,10,0,0,0,0,0,0,0,0,0
Holly,Follow me on Twitter @mscalifornia95﻿,1,0,0.8,1,0,0,5,0,0,0,0,0,0,0,0,0
unknown,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,0,0,0.7142857142857143,0,1,0,8,0,0,0,0,0,0,0,0,0
"thevlogmasters Vlog, Challenges en nog veel meer!",▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,0,0,0.3469387755102041,0,0,0,7,0,0,0,0,0,0,0,0,0
Freddie Barton,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,1,0,0.7857142857142857,1,0,0,11,0,0,0,0,0,0,0,4,2
Sean Ortiz,Incmedia.org where the truth meets you.﻿,1,0,1.0,1,0,0,6,0,0,0,0,0,0,0,0,0
ZodexHD,look at my channel i make minecraft pe lets play ﻿,1,0,1.0,0,0,0,11,0,0,0,0,0,0,0,0,0
Andr3wco7,I found out this song now﻿,0,0,1.0,0,0,0,6,0,0,0,0,0,0,0,0,0
michelle clough,2 BILLION!!!﻿,0,0,0.6666666666666666,1,0,0,2,1,0,0,0,0,0,0,3,1
